,WMO,FAA,Station_Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
586,82705,,Cruzerio Do Sul,South_America,,CRUZEIRO DO SUL (A,,BZ,199,7.58,S,72.76,W
587,82824,SBPV,Porto Velho (Aeroporto) ,South_America,SBPV,PORTO VELHO (CV/MI,,BZ,88,8.77,S,63.92,W
588,82917,,Rio Branco,South_America,SBRB,RIO BRANCO/MEDICI,,BZ,143,10.0,S,67.8,W
589,82965,SBAT,Alta Floresta (Aero) ,South_America,SBAT,ALTA FLORESTA,,BZ,288,9.87,S,56.1,W
590,83208,SBVH,Vilhena (Aeroporto) ,South_America,SBVH,VILHENA,,BZ,652,12.73,S,60.13,W
591,83378,SBBR,Brasilia (Aeroporto) ,South_America,SBBR,BRASILIA (CIV/MIL),,BZ,1061,15.87,S,47.93,W
592,83525,SBUL,Uberlandia ,South_America,SBUL,UBERLANDIA,,BZ,943,18.88,S,48.23,W
593,83554,,Corumba,South_America,SBCR,CORUMBA,,BZ,142,19.0,S,57.67,W
594,83566,,Confis Intnl Arpt,South_America,,CONFIS INTNL ARPT,,BZ,827,19.62,S,43.57,W
595,83612,SBCG,Campo Grande (Aero) ,South_America,SBCG,CAMPO GRANDE INTL,,BZ,556,20.47,S,54.67,W
596,83649,,Vitoria,South_America,SBVT,VITORIA/GOIABEIRAS,,BZ,4,20.27,S,40.28,W
597,83746,SBGL,Galeao ,South_America,SBGL,GALEAO/RIO(CIV/MIL,,BZ,6,22.82,S,43.25,W
598,83768,SBLO,Londrina ,South_America,SBLO,LONDRINA AIRPORT,,BZ,570,23.33,S,51.13,W
599,83779,SBMT,Marte Civ/Mil ,South_America,,MARTE APRT,,BZ,722,23.5,S,46.6,W
600,83827,SBFI,Foz Do Iguacu (Aero) ,South_America,SBFI,FOZ DO IGUACU ARPT,,BZ,243,25.52,S,54.58,W
601,83840,SBCT,Curitiba (Aeroporto) ,South_America,SBCT,CURITIBA/AFONSO PE,,BZ,908,25.52,S,49.17,W
602,83899,SBFL,Florianopolis ,South_America,SBFL,FLORIANOPOLIS ARPT,,BZ,5,27.67,S,48.55,W
603,83928,SBUG,Uruguaniana ,South_America,SBUG,URUGUAIANA/RUBEM,,BZ,74,29.78,S,57.03,W
604,83937,SBSM,Santa Maria ,South_America,SBSM,SANTA MARIA/AIRPOR,,BZ,85,29.72,S,53.7,W
605,83971,SBPA,Porto Alegre (Aero) ,South_America,SBPA,PORTO ALEGRE/SALGA,,BZ,3,30.0,S,51.18,W
606,85442,SCFA,Antofagasta ,South_America,SCFA,ANTOFAGASTA/CERRO,,CH,120,23.43,S,70.43,W
607,85586,SCSN,Santo Domingo ,South_America,SCSN,SANTO DOMINGO,,CH,75,33.65,S,71.62,W
608,85799,SCTE,Puerto Montt ,South_America,SCTE,PUERTO MONTT/TEPUA,,CH,86,41.42,S,73.08,W
609,85934,SCCI,Punta Arenas ,South_America,SCCI,PUNTA ARENAS,,CH,37,53.0,S,70.85,W
610,87155,SARE,Resistencia Aero ,South_America,SARE,RESISTENCIA AIRPOR,,AG,52,27.45,S,59.05,W
611,87344,SACO,Cordoba Aero ,South_America,SACO,CORDOBA AIRPORT,,AG,474,31.32,S,64.22,W
612,87418,SAME,Mendoza Aero ,South_America,SAME,MENDOZA/EL PLUMERI,,AG,704,32.83,S,68.78,W
613,87623,SAZR,Santa Rosa Aero ,South_America,SAZR,SANTA ROSA AIRPORT,,AG,191,36.57,S,64.27,W
614,87715,SAZN,Neuquen Aero ,South_America,SAZN,NEUQUEN AIRPORT,,AG,271,38.95,S,68.13,W
615,87860,SAVC,Comodoro Rivadavia Aero ,South_America,SAVC,COMODORO RIVADAVIA,,AG,46,45.78,S,67.5,W
616,88889,EGYP,MOUNT PLEASANT ARPT ,South_America,EGYP,MOUNT PLEASANT ARP,,FK,73,51.82,S,58.45,W
617,45004,,Kings Park,South_Pacific,,KING'S PARK,,HK,66,22.32,N,114.17,E
618,47909,,Naze/Funchatoge,South_Pacific,,NAZE/FUNCHATOGE,,JP,7,28.38,N,129.55,E
619,47918,ROIG,Ishigakijima ,South_Pacific,ROIG,ISHIGAKIJIMA ISLAN,,JP,7,24.33,N,124.17,E
620,47945,ROMD,Minamidaitojima ,South_Pacific,ROMD,MINAMIDAITOJIMA IS,,JP,15,25.83,N,131.23,E
621,47971,RJAO,Chichijima ,South_Pacific,RJAO,CHICHIJIMA ISLAND,,JP,8,27.08,N,142.18,E
622,47991,RJAM,Minamitorishima ,South_Pacific,RJAM,MINAMITORISHIMA,,JP,9,24.3,N,153.97,E
623,48839,,Bach Longvi,South_Pacific,,BACH LONGVI,,VS,60,20.13,N,107.72,E
624,48855,VVDN,Da Nang ,South_Pacific,VVDN,DA NANG INTL ARPT,,VS,7,16.03,N,108.18,E
625,48900,VVTS,Ho Chi Minh ,South_Pacific,VVTS,HO CHI MINH/TANSON,,VS,19,10.82,N,106.67,E
626,91165,PHLI,"Lihue, HI ",South_Pacific,PLIH,LIHUE-ON-KAUAI,HI,US,45,21.98,N,159.35,W
627,91212,PGUM,Guam Intl Arpt ,South_Pacific,PGUM,AGANA (NWS),,MY,91,13.48,N,144.8,E
628,91285,PHTO,"Hilo/Gen, HI ",South_Pacific,PHTO,HILO/LYMAN,HI,US,11,19.72,N,155.07,W
629,91334,PTKK,Chuuk Lagoon ,South_Pacific,PTKK,CHUUK/EAST CAROLIN,,KA,3,7.45,N,151.83,E
630,91348,PTPN,Pohnpei ,South_Pacific,PTPN,PONAPE/EAST CAROLI,,KA,39,6.97,N,158.22,E
631,91376,PKMJ,Majuro/Marshall Is ,South_Pacific,PKMJ,MARSHALL ISLANDS,,MM,3,7.08,N,171.38,E
632,91408,PTRO,Babeldaob ,South_Pacific,PTRO,PALAU/WEST CAROLIN,,KA,33,7.33,N,134.48,E
633,91413,PTYA,Yap ,South_Pacific,PTYA,LUWEECH/WEST CAROL,,KA,17,9.48,N,138.08,E
634,91610,NGTA,Tarawa ,South_Pacific,NGTA,TARAWA/BONRIKI INT,,KB,4,1.35,N,172.92,E
635,91643,NGFU,Funafuti ,South_Pacific,NGFU,FUNAFUTI INTL ARPT,,TV,2,8.52,S,179.22,E
636,91680,NFFN,Nadi Airport ,South_Pacific,NFFN,NANDI/NADI INTL,,FJ,18,17.75,S,177.45,E
637,91765,NSTU,Pago Pago/Int.Airp. ,South_Pacific,NSTU,PAGO PAGO,,ZM,3,14.33,S,170.72,W
638,94120,YPDN,"Darwin Airport, NT ",South_Pacific,YPDN,DARWIN (CIV/MIL),NT,AU,30,12.4,S,130.87,E
639,94203,YBRM,"Broome Amo, WE ",South_Pacific,YBRM,BROOME AIRPORT,WE,AU,9,17.95,S,122.22,E
640,94299,,"Willis Island, QU",South_Pacific,,WILLIS ISLAND,QU,AU,9,16.3,S,149.98,E
641,94302,YPLM,"Learmonth Airport, WE ",South_Pacific,YPLM,LEARMONTH,WE,AU,6,22.23,S,114.08,E
642,94326,YBAS,"Alice Springs Aero, NT ",South_Pacific,YBAS,ALICE SPRINGS ARPT,NT,AU,541,23.8,S,133.9,E
643,94332,YBMA,"Mount Isa Amo, QU ",South_Pacific,YBMA,MOUNT ISA AIRPORT,QU,AU,344,20.67,S,139.48,E
644,94403,YPGN,"Geraldton Amo, WE ",South_Pacific,YPGN,GERALDTON AIRPORT,WE,AU,34,28.78,S,114.7,E
645,94430,YPMR,"Meekatharra Amo, WE ",South_Pacific,YPMR,MEEKATHARRA AIRPOR,WE,AU,518,26.6,S,118.53,E
646,94461,,"Giles, WE",South_Pacific,YGLS,GILES MET STATION,WE,AU,599,25.03,S,128.28,E
647,94510,YBCV,"Charleville Amo, QU ",South_Pacific,YBCV,CHARLEVILLE ARPT,QU,AU,304,26.4,S,146.27,E
648,94578,YBBN,"Brisbane Airport Aero, QU ",South_Pacific,YBBN,BRISBANE INTL ARPT,QU,AU,5,27.38,S,153.1,E
649,94610,YPPH,"Perth Airport, WE ",South_Pacific,YPPH,PERTH INTL/BELMONT,WE,AU,29,31.93,S,115.95,E
650,94637,YPKG,"Kalgoorlie-Boulder Amo, WE ",South_Pacific,YPKG,KALGOORLIE/BOULDER,WE,AU,360,30.77,S,121.45,E
651,94638,,"Esperance Mo, WE",South_Pacific,YESP,ESPERANCE,WE,AU,26,33.82,S,121.88,E
652,94659,YPWR,"Woomera Aerodrome Mo, SA ",South_Pacific,YPWR,WOOMERA (AUS-AFB),SA,AU,167,31.13,S,136.82,E
653,94672,YPAD,"Adelaide Airport, SA ",South_Pacific,YPAD,ADELAIDE INTL ARPT,SA,AU,4,34.93,S,138.52,E
654,94711,,"Cobar Mo, NW",South_Pacific,YCBA,COBAR,NW,AU,265,31.48,S,145.82,E
655,94776,YSWM,"Williamtown Amo Raaf, NW ",South_Pacific,YSWM,WILLIAMTOWN(AUS-AB,NW,AU,8,32.78,S,151.82,E
656,94821,YMMG,"Mount Gambier Aero, SA ",South_Pacific,YMMG,MOUNT GAMBIER ARPT,SA,AU,69,37.73,S,140.78,E
657,94866,YMML,"Melbourne Airport, VC ",South_Pacific,YMML,MELBOURNE INTL ARP,VC,AU,141,37.67,S,144.83,E
658,94975,YMHB,"Hobart Airport, TA ",South_Pacific,YMHB,HOBART AIRPORT,TA,AU,27,42.83,S,147.48,E
659,94995,,Lord Howe Island,South_Pacific,YLHI,LORD HOWE ISLAND,NW,AU,6,31.53,S,159.07,E
660,94996,YSNF,Norfolk Island Aero ,South_Pacific,YSNF,NORFOLK ISLAND ARP,,AU,109,29.03,S,167.93,E
661,96147,WION,Ranai ,South_Pacific,WION,RANAI (MIL/CIV),,ID,2,3.95,N,108.38,E
662,96413,WBGG,Kuching ,South_Pacific,WBGG,KUCHING (CIV/MIL),,MS,27,1.48,N,110.33,E
663,96509,WRLR,Tarakan/Juwata ,South_Pacific,WRLR,TARAKAN/JUWATA,,ID,6,3.33,N,117.57,E
664,96581,WIOO,Pontianak/Supadio ,South_Pacific,WIOO,PONTIANAK,,ID,3,0.15,S,109.4,E
665,96685,WRBB,Banjarmasin/Syamsudin ,South_Pacific,WRBB,BANJARMASIN NOOR,,ID,20,3.43,S,114.75,E
666,96749,WIII,Jakarta/Soekarno-Hatta ,South_Pacific,WIII,SOEKARNO-HATTA INT,,ID,8,6.12,S,106.65,E
667,96935,WRSJ,Surabaya/Juanda ,South_Pacific,WRSJ,SURABAYA/JUANDA MI,,ID,3,7.37,S,112.77,E
668,97014,WAMM,Menado/ Sam Ratulangi ,South_Pacific,WAMM,MENADO/SAM RATULAN,,ID,80,1.53,N,124.92,E
669,97072,WAML,Palu/Mutiara ,South_Pacific,WAML,PALU/MUTIARA,,ID,6,0.68,S,119.73,E
670,97372,WRKK,Kupang/Eltari ,South_Pacific,WRKK,KUPANG/EL TARI,,ID,108,10.17,S,123.67,E
671,97560,WABB,Biak/Frans Kaisiepo ,South_Pacific,WABB,BIAK/FRANS KAISIEP,,ID,11,1.18,S,136.12,E
672,97724,WAPP,Ambon/Pattimura ,South_Pacific,WAPP,AMBON/PATTIMURA,,ID,12,3.7,S,128.08,E
673,97900,WAPI,Saumlaki/Olilit ,South_Pacific,WAPI,SAUMLAKI/OLILIT,,ID,24,7.98,S,131.3,E
674,97980,WAKK,Merauke/Mopah ,South_Pacific,WAKK,MERAUKE/MOPAH,,ID,3,8.47,S,140.38,E
675,98223,RPLI,Laoag ,South_Pacific,RPLI,LAOAG INTL(PH-ARMY,,PH,5,18.18,N,120.53,E
676,98328,RPUB,Baguio ,South_Pacific,RPUB,BAGUIO,,PH,1501,16.42,N,120.6,E
677,98433,,Tanay,South_Pacific,,TANAY,,PH,614,14.57,N,121.37,E
678,98618,RPVP,Puerto Princesa ,South_Pacific,,PUERTO PRINCESA,,PH,15,9.75,N,118.73,E
679,98646,RPMT,Mactan ,South_Pacific,RPMT,MACTAN INTL(CIV/AF,,PH,24,10.3,N,123.97,E
680,98753,RPMD,Davao Airport ,South_Pacific,,DAVAO AIRPORT,,PH,18,7.12,N,125.65,E
681,91765,NSTU,Pago Pago/Int.Airp. ,South_Pacific,NSTU,PAGO PAGO,,ZM,3,14.33,S,170.72,W
682,48601,WMKP,Penang/Bayan Lepas ,South_Pacific,WMKP,PENANG/BAYAN LEPAS,,MS,4,5.3,N,100.27,E
683,48650,,Sepang,South_Pacific,,SEPANG (KUALA LUMP,,KL,16,2.73,N,101.7,E
684,48820,VVNB,Ha Noi ,South_Pacific,VVNB,HANOI/NOIBAI INTL,,VS,6,21.02,N,105.8,E
685,48855,VVDN,Da Nang ,South_Pacific,VVDN,DA NANG INTL ARPT,,VS,7,16.03,N,108.18,E
686,48900,VVTS,Ho Chi Minh ,South_Pacific,VVTS,HO CHI MINH/TANSON,,VS,19,10.82,N,106.67,E
687,96035,WIMM,Medan/Polonia ,South_Pacific,WIMM,MEDAN/POLONIA (MIL,,ID,25,3.57,N,98.68,E
688,96147,WION,Ranai ,South_Pacific,WION,RANAI (MIL/CIV),,ID,2,3.95,N,108.38,E
689,96163,WIMG,Padang/Tabing ,South_Pacific,WIMG,PADANG/TABING,,ID,3,0.88,S,100.35,E
690,96237,WIKK,Pangkal Pinang ,South_Pacific,WIKK,PANGKAL-PINANG,,ID,33,2.17,S,106.13,E
691,96253,WIPL,Bengkulu/Padang Kemiling ,South_Pacific,WIPL,BENGKULA/PADANG,,ID,16,3.88,S,102.33,E
692,96413,WBGG,Kuching ,South_Pacific,WBGG,KUCHING (CIV/MIL),,MS,27,1.48,N,110.33,E
693,96441,WBGB,Bintulu ,South_Pacific,WBGB,BINTULU/KALIMANTAN,,MS,5,3.2,N,113.03,E
694,96471,WBKK,Kota Kinabalu ,South_Pacific,WBKK,KOTA KINABALU INTL,,MS,3,5.93,N,116.05,E
695,96481,WBKW,Tawau ,South_Pacific,WBKW,TAWAU/KALIMANTAN I,,MS,20,4.27,N,117.88,E
696,96509,WRLR,Tarakan/Juwata ,South_Pacific,WRLR,TARAKAN/JUWATA,,ID,6,3.33,N,117.57,E
697,96581,WIOO,Pontianak/Supadio ,South_Pacific,WIOO,PONTIANAK,,ID,3,0.15,S,109.4,E
698,96645,WRBI,Pangkalan Bun/Iskandar ,South_Pacific,WRBI,PANGKALAN,,ID,25,2.7,S,111.7,E
699,96685,WRBB,Banjarmasin/Syamsudin ,South_Pacific,WRBB,BANJARMASIN NOOR,,ID,20,3.43,S,114.75,E
700,96749,WIII,Jakarta/Soekarno-Hatta ,South_Pacific,WIII,SOEKARNO-HATTA INT,,ID,8,6.12,S,106.65,E
701,96805,WIIL,Cilacap ,South_Pacific,WIIL,CILACAP,,ID,6,7.73,S,109.02,E
702,96935,WRSJ,Surabaya/Juanda ,South_Pacific,WRSJ,SURABAYA/JUANDA MI,,ID,3,7.37,S,112.77,E
703,97014,WAMM,Menado/ Sam Ratulangi ,South_Pacific,WAMM,MENADO/SAM RATULAN,,ID,80,1.53,N,124.92,E
704,97072,WAML,Palu/Mutiara ,South_Pacific,WAML,PALU/MUTIARA,,ID,6,0.68,S,119.73,E
705,97180,WAAA,Ujung Pandang/Hasanuddin ,South_Pacific,WAAA,HASANUDDIN/UJUNG,,ID,14,5.07,S,119.55,E
706,97230,WRRR,Denpasar/Ngurah Rai ,South_Pacific,WRRR,DENPASAR/NGURAH RA,,ID,1,8.45,S,115.1,E
707,97372,WRKK,Kupang/Eltari ,South_Pacific,WRKK,KUPANG/EL TARI,,ID,108,10.17,S,123.67,E
708,97502,WASS,Sorong/Jefman ,South_Pacific,WASS,SORONG/JEFMAN,,ID,3,0.93,S,131.12,E
709,97560,WABB,Biak/Frans Kaisiepo ,South_Pacific,WABB,BIAK/FRANS KAISIEP,,ID,11,1.18,S,136.12,E
710,97690,WAJJ,Jayapura/Sentani ,South_Pacific,WAJJ,JAYAPURA/SENTANI,,ID,99,2.57,S,140.48,E
711,97724,WAPP,Ambon/Pattimura ,South_Pacific,WAPP,AMBON/PATTIMURA,,ID,12,3.7,S,128.08,E
712,97900,WAPI,Saumlaki/Olilit ,South_Pacific,WAPI,SAUMLAKI/OLILIT,,ID,24,7.98,S,131.3,E
713,97980,WAKK,Merauke/Mopah ,South_Pacific,WAKK,MERAUKE/MOPAH,,ID,3,8.47,S,140.38,E
714,98223,RPLI,Laoag ,South_Pacific,RPLI,LAOAG INTL(PH-ARMY,,PH,5,18.18,N,120.53,E
715,98328,RPUB,Baguio ,South_Pacific,RPUB,BAGUIO,,PH,1501,16.42,N,120.6,E
716,98433,,Tanay,South_Pacific,,TANAY,,PH,614,14.57,N,121.37,E
717,98444,RPMP,Legaspi ,South_Pacific,RPMP,LEGAZPI/LUZON ISL,,PH,17,13.13,N,123.73,E
718,98618,RPVP,Puerto Princesa ,South_Pacific,,PUERTO PRINCESA,,PH,15,9.75,N,118.73,E
719,98646,RPMT,Mactan ,South_Pacific,RPMT,MACTAN INTL(CIV/AF,,PH,24,10.3,N,123.97,E
720,98747,,Cagayan De Oro,South_Pacific,,LUMBIA AIRPORT,,PH,188,8.41,N,124.61,E
721,98753,RPMD,Davao Airport ,South_Pacific,,DAVAO AIRPORT,,PH,18,7.12,N,125.65,E
